,"('Unemployment, male (% of male labor force) (modeled ILO estimate)', '2018')","('Employment to population ratio', 'Total', '% ages 15 and older', '2018')","('Unemployment, female (% of female labor force) (modeled ILO estimate)', '2018')","('Gross domestic product', '$ billions', '2019')","('Health expenditure', 'Current', '% of GDP', '2017')","('Health expenditure', 'Public', '% of current', '2017')","('People using safely managed drinking water services', 'Unnamed: 2_level_1', '% of population', '2017')","('People using safely managed sanitation services', 'Unnamed: 4_level_1', '% of population', '2017')","('Lifetime risk of maternal mortality', 'Unnamed: 10_level_1', 'Probability 1 woman in:', '2017')","('Prevalence of undernourishment', 'Unnamed: 2_level_1', '% of population', '2018')","('Prevalence of smoking', 'Male', '% of adults', '2016')","('Prevalence of smoking', 'female', '% of adults', '2016')","('Cause of death', 'Communicable diseases and maternal, prenatal, and nutrition conditions', '% of population', '2016')","('Cause of death', 'Non-communicable diseases', '% of population', '2016')","('Life expectancy at birth', 'Unnamed: 2_level_1', 'years', '2018')","('Neonatal mortality rate', 'Unnamed: 4_level_1', 'per 1,000 live births', '2019')","('Infant mortality rate', 'Unnamed: 6_level_1', 'per 1,000 live births', '2019')","('Adult mortality rate', 'Male', 'per 1,000', '2013-18')","('Adult mortality rate', 'female', 'per 1,000', '2013-18')","('Gross intake ratio in first grade of primary education', 'Male', '% of relevant age group', '2018')","('Gross intake ratio in first grade of primary education', 'female', '% of relevant age group', '2018')","('Transition rate to secondary education', 'Male', '%', '2017')","('Transition rate to secondary education', 'female', '%', '2017')","('Youth literacy rate', 'Male', '% of ages 15-24', '2010-19')","('Youth literacy rate', 'female', '% of ages 15-24', '2010-19')","('Adult literacy rate', 'Male', '% ages 15 and older', '2010-19')","('Adult literacy rate', 'female', '% ages 15 and older', '2010-19')","('Primary completion rate', 'Male', '% of relevant age group', '2018')","('Primary completion rate', 'female', '% of relevant age group', '2018')","('Lower secondary completion rate', 'Male', '% of relevant age group', '2018')","('Lower secondary completion rate', 'female', '% of relevant age group', '2018')","('Access to electricity', 'Unnamed: 7_level_1', '% of population', '2015')","('Gross national income per capita, Atlas method', 'Unnamed: 5_level_1', '$', '2019')","('Population', 'Unnamed: 1_level_1', 'millions', '2019')","('Surface area', 'Unnamed: 2_level_1', 'sq. km thousands', '2019')","('Population density', 'Unnamed: 3_level_1', 'people per sq. km', '2019')"
papua new guinea,3.5,46.2,1.3,25.0,2.5,75.4,74.89615384615384,64.45,190,9.46271186440678,49.0,24.0,36,56,64,22,36,251,188,131.0,124.0,93.07377049180329,92.87704918032787,65.0,71.0,65.0,58.0,82.0,72.0,69,54,44.5,2780.0,8.8,462.8,19
honduras,4.7,64.9,7.2,25.1,7.9,40.1,74.89615384615384,64.45,560,13.8,34.04424778761062,2.0,14,67,75,9,15,167,116,91.0,91.0,69.0,73.0,95.0,98.0,87.0,87.0,77.0,82.0,40,47,90.0,2390.0,9.7,112.5,86
ghana,4.1,65.1,4.3,67.0,3.3,33.5,36.4,64.45,82,6.5,8.0,0.0,48,43,64,23,34,255,214,100.0,101.0,93.0,95.0,93.0,92.0,84.0,74.0,93.0,95.0,79,77,75.7,2220.0,30.4,238.5,131
namibia,21.1,47.3,18.6,12.4,8.6,46.1,74.89615384615384,64.45,140,14.7,34.0,10.0,49,41,63,19,31,349,249,113.0,114.0,93.07377049180329,92.87704918032787,94.0,96.0,92.0,91.0,91.0,97.0,73,81,51.6,5060.0,2.5,824.3,3
latvia,8.4,57.2,6.4,34.1,6.0,57.1,95.2,85.8,3100,2.5,51.0,26.0,3,92,75,2,3,229,85,100.0,99.0,99.0,99.0,100.0,100.0,100.0,100.0,98.0,99.0,99,100,100.0,17730.0,1.9,64.5,31
malta,3.8,54.6,3.6,14.8,9.3,63.1,100.0,93.0,10200,2.5,30.0,21.0,6,91,82,5,6,64,35,106.0,109.0,100.0,98.0,99.0,100.0,93.0,96.0,105.0,102.0,104,104,100.0,27290.0,0.5,0.3,1514
kenya,2.5,72.5,2.8,95.5,4.8,42.7,74.89615384615384,64.45,76,23.0,20.0,1.0,63,27,66,21,32,265,195,96.0,92.0,98.0,100.0,88.0,88.0,85.0,78.0,99.0,100.0,79,79,41.6,1750.0,52.6,580.4,90
senegal,6.2,42.7,7.1,23.6,4.1,21.0,74.89615384615384,21.5,65,9.4,17.0,0.0,46,42,68,22,33,216,145,89.0,100.0,75.0,71.0,76.0,64.0,65.0,40.0,55.0,67.0,34,41,60.5,1450.0,16.3,196.7,82
nepal,1.6,82.6,1.2,30.6,5.6,22.3,27.2,64.45,230,6.1,38.0,10.0,25,66,70,20,26,167,130,146.0,148.0,84.0,81.0,94.0,91.0,79.0,60.0,118.0,123.0,97,102,85.2,1090.0,28.6,147.2,196
el salvador,4.2,56.6,3.8,27.0,7.2,63.7,74.89615384615384,64.45,960,8.9,19.0,3.0,11,74,73,7,11,268,103,98.0,95.0,95.0,95.0,98.0,98.0,91.0,87.0,87.0,86.0,78,77,95.4,4000.0,6.5,21.0,310
uganda,1.3,69.1,2.2,34.4,6.2,15.7,7.1,64.45,49,9.46271186440678,17.0,3.0,55,33,63,20,33,302,233,139.0,140.0,61.0,57.0,89.0,90.0,83.0,71.0,52.0,54.0,28,25,18.5,780.0,44.3,241.6,213
estonia,5.4,60.4,5.3,31.4,6.4,74.7,93.3,97.4,6900,2.5,39.0,25.0,3,93,78,1,2,155,56,95.0,97.0,100.0,100.0,100.0,100.0,100.0,100.0,98.0,95.0,102,102,100.0,23220.0,1.3,45.3,30
ethiopia,1.5,77.8,2.7,96.1,3.5,24.9,11.4,64.45,55,19.7,9.0,0.0,49,39,66,28,37,237,185,105.44961240310076,103.96899224806202,93.07377049180329,92.87704918032787,74.0,72.0,59.0,44.0,55.0,53.0,30,29,29.0,850.0,112.1,1104.3,109
saudi arabia,2.9,52.1,22.5,793.0,5.2,64.1,74.89615384615384,77.8,2300,4.8,25.0,2.0,11,73,75,4,6,92,76,91.0,92.0,100.0,96.0,99.0,99.0,97.0,93.0,97.0,97.0,105,104,100.0,22850.0,34.3,2149.7,16
belarus,5.9,61.5,3.6,63.1,5.9,70.0,94.5,80.5,23800,2.5,46.0,11.0,3,91,74,1,2,235,83,94.0,94.0,98.0,99.0,100.0,100.0,100.0,100.0,105.0,105.0,98,98,100.0,6280.0,9.5,207.6,47
philippines,2.1,58.2,2.7,376.8,4.4,31.9,46.7,51.6,300,14.5,41.0,8.0,25,67,71,13,22,235,131,96.0,93.0,96.0,97.0,99.0,99.0,98.0,98.0,117.0,113.0,74,87,89.1,3850.0,108.1,300.0,358
israel,4.0,61.5,4.0,395.1,7.4,63.6,99.4,93.7,10800,2.5,35.0,15.0,10,86,83,2,3,71,40,103.0,105.0,100.0,100.0,92.34166666666668,90.68333333333334,87.575,81.40833333333333,102.0,103.0,106,111,100.0,43290.0,9.1,22.1,410
albania,13.1,49.0,11.2,15.3,6.385271317829457,51.280620155038754,70.0,39.9,3800,3.6,51.0,7.0,3,93,78,8,9,93,49,107.0,111.0,99.0,98.0,99.0,100.0,99.0,98.0,99.0,105.0,93,100,100.0,5240.0,2.9,28.8,105
finland,7.4,54.9,7.3,268.8,9.2,76.7,99.6,99.2,20900,2.5,23.0,18.0,1,93,82,1,2,89,44,99.0,99.0,100.0,100.0,92.34166666666668,90.68333333333334,87.575,81.40833333333333,100.0,101.0,100,99,100.0,49580.0,5.5,338.5,18
denmark,4.8,59.2,5.1,348.1,10.1,84.0,96.7,94.8,16200,2.5,19.0,19.0,7,90,81,3,3,82,52,98.0,99.0,100.0,100.0,92.34166666666668,90.68333333333334,87.575,81.40833333333333,101.0,101.0,100,99,100.0,63240.0,5.8,42.9,138
lithuania,6.9,58.0,5.4,54.2,6.5,65.5,92.0,91.3,7500,2.5,38.0,21.0,4,90,76,2,3,213,79,104.0,104.0,99.0,99.0,100.0,100.0,100.0,100.0,104.0,104.0,99,100,100.0,18990.0,2.8,65.3,45
myanmar,1.2,61.0,2.0,76.1,4.7,14.8,74.89615384615384,64.45,190,14.1,35.0,6.0,24,68,67,22,36,248,150,140.0,131.0,93.07377049180329,92.87704918032787,85.0,84.0,80.0,72.0,96.0,95.0,62,68,60.5,1390.0,54.0,676.6,82
north macedonia,21.3,43.8,19.9,12.7,6.1,67.4,81.0,16.6,9000,3.1,34.04424778761062,9.68695652173913,2,95,76,4,5,120,63,105.0,105.0,93.07377049180329,92.87704918032787,99.0,99.0,99.0,97.0,94.0,93.0,86,86,100.0,5910.0,2.1,25.7,83
s. korea,3.9,60.5,3.7,1642.4,7.6,57.4,98.2,99.9,8300,2.5,41.0,6.0,10,80,83,2,3,79,32,101.0,100.0,100.0,100.0,92.34166666666668,90.68333333333334,87.575,81.40833333333333,96.0,95.0,100,100,100.0,33720.0,51.7,100.3,529
moldova,3.5,42.1,2.5,12.0,7.0,50.6,72.9,64.45,3900,9.46271186440678,45.0,6.0,4,90,72,11,12,237,96,94.0,92.0,98.0,99.0,100.0,100.0,100.0,99.0,90.0,89.0,86,84,100.0,3930.0,2.7,33.9,94
armenia,17.8,45.9,17.2,13.7,10.4,13.2,86.5,48.2,2000,2.6,52.0,2.0,3,93,75,6,11,173,66,91.0,93.0,98.0,99.0,100.0,100.0,100.0,100.0,90.0,90.0,92,94,100.0,4680.0,3.0,29.7,104
slovenia,4.6,55.9,5.7,53.7,8.2,71.8,98.1,83.0,9300,2.5,25.0,20.0,5,88,81,1,2,91,45,101.0,102.0,100.0,100.0,100.0,100.0,100.0,100.0,97.0,98.0,94,97,100.0,25750.0,2.1,20.7,103
