,"Unemployment, male % of male labor force modeled ILO estimate, 2018","Employment to population ratio, Total, % ages 15 and older, 2018","Gross domestic product, $ billions, 2019","Health expenditure, Current, % of GDP, 2017","Health expenditure, Public, % of current, 2017","People using safely managed drinking water services, Unnamed: 2_level_1, % of population, 2017","People using safely managed sanitation services, Unnamed: 4_level_1, % of population, 2017","Lifetime risk of maternal mortality, Unnamed: 10_level_1, Probability 1 woman in:, 2017","Prevalence of undernourishment, Unnamed: 2_level_1, % of population, 2018","Prevalence of smoking, Male, % of adults, 2016","Prevalence of smoking, female, % of adults, 2016","Cause of death, Communicable diseases and maternal, prenatal, and nutrition conditions, % of population, 2016","Gross intake ratio in first grade of primary education, Male, % of relevant age group, 2018","Gross national income per capita, Atlas method, Unnamed: 5_level_1, $, 2019","Population, Unnamed: 1_level_1, millions, 2019","Surface area, Unnamed: 2_level_1, sq. km thousands, 2019","Population density, Unnamed: 3_level_1, people per sq. km, 2019"
honduras,4.7,64.9,25.1,7.9,40.1,74.89615384615384,64.45,560,13.8,34.04424778761062,2.0,14,91.0,2390.0,9.7,112.5,86
ghana,4.1,65.1,67.0,3.3,33.5,36.4,64.45,82,6.5,8.0,0.0,48,100.0,2220.0,30.4,238.5,131
namibia,21.1,47.3,12.4,8.6,46.1,74.89615384615384,64.45,140,14.7,34.0,10.0,49,113.0,5060.0,2.5,824.3,3
latvia,8.4,57.2,34.1,6.0,57.1,95.2,85.8,3100,2.5,51.0,26.0,3,100.0,17730.0,1.9,64.5,31
malta,3.8,54.6,14.8,9.3,63.1,100.0,93.0,10200,2.5,30.0,21.0,6,106.0,27290.0,0.5,0.3,1514
kenya,2.5,72.5,95.5,4.8,42.7,74.89615384615384,64.45,76,23.0,20.0,1.0,63,96.0,1750.0,52.6,580.4,90
senegal,6.2,42.7,23.6,4.1,21.0,74.89615384615384,21.5,65,9.4,17.0,0.0,46,89.0,1450.0,16.3,196.7,82
nepal,1.6,82.6,30.6,5.6,22.3,27.2,64.45,230,6.1,38.0,10.0,25,146.0,1090.0,28.6,147.2,196
el salvador,4.2,56.6,27.0,7.2,63.7,74.89615384615384,64.45,960,8.9,19.0,3.0,11,98.0,4000.0,6.5,21.0,310
uganda,1.3,69.1,34.4,6.2,15.7,7.1,64.45,49,9.46271186440678,17.0,3.0,55,139.0,780.0,44.3,241.6,213
estonia,5.4,60.4,31.4,6.4,74.7,93.3,97.4,6900,2.5,39.0,25.0,3,95.0,23220.0,1.3,45.3,30
ethiopia,1.5,77.8,96.1,3.5,24.9,11.4,64.45,55,19.7,9.0,0.0,49,105.44961240310076,850.0,112.1,1104.3,109
saudi arabia,2.9,52.1,793.0,5.2,64.1,74.89615384615384,77.8,2300,4.8,25.0,2.0,11,91.0,22850.0,34.3,2149.7,16
belarus,5.9,61.5,63.1,5.9,70.0,94.5,80.5,23800,2.5,46.0,11.0,3,94.0,6280.0,9.5,207.6,47
philippines,2.1,58.2,376.8,4.4,31.9,46.7,51.6,300,14.5,41.0,8.0,25,96.0,3850.0,108.1,300.0,358
israel,4.0,61.5,395.1,7.4,63.6,99.4,93.7,10800,2.5,35.0,15.0,10,103.0,43290.0,9.1,22.1,410
albania,13.1,49.0,15.3,6.385271317829457,51.28062015503875,70.0,39.9,3800,3.6,51.0,7.0,3,107.0,5240.0,2.9,28.8,105
finland,7.4,54.9,268.8,9.2,76.7,99.6,99.2,20900,2.5,23.0,18.0,1,99.0,49580.0,5.5,338.5,18
denmark,4.8,59.2,348.1,10.1,84.0,96.7,94.8,16200,2.5,19.0,19.0,7,98.0,63240.0,5.8,42.9,138
lithuania,6.9,58.0,54.2,6.5,65.5,92.0,91.3,7500,2.5,38.0,21.0,4,104.0,18990.0,2.8,65.3,45
myanmar,1.2,61.0,76.1,4.7,14.8,74.89615384615384,64.45,190,14.1,35.0,6.0,24,140.0,1390.0,54.0,676.6,82
north macedonia,21.3,43.8,12.7,6.1,67.4,81.0,16.6,9000,3.1,34.04424778761062,9.68695652173913,2,105.0,5910.0,2.1,25.7,83
s. korea,3.9,60.5,1642.4,7.6,57.4,98.2,99.9,8300,2.5,41.0,6.0,10,101.0,33720.0,51.7,100.3,529
moldova,3.5,42.1,12.0,7.0,50.6,72.9,64.45,3900,9.46271186440678,45.0,6.0,4,94.0,3930.0,2.7,33.9,94
armenia,17.8,45.9,13.7,10.4,13.2,86.5,48.2,2000,2.6,52.0,2.0,3,91.0,4680.0,3.0,29.7,104
slovenia,4.6,55.9,53.7,8.2,71.8,98.1,83.0,9300,2.5,25.0,20.0,5,101.0,25750.0,2.1,20.7,103
bangladesh,3.3,56.4,302.6,2.3,16.7,55.4,64.45,250,13.0,45.0,1.0,26,102.0,1940.0,163.0,147.6,1240
guatemala,1.9,60.8,76.7,5.8,35.8,56.0,64.45,330,16.1,34.04424778761062,9.68695652173913,25,106.0,4610.0,16.6,108.9,153
czechia,1.8,59.4,246.5,7.2,81.7,97.9,94.5,17900,2.5,38.0,31.0,5,100.0,22000.0,10.7,78.9,138
jordan,13.0,33.5,43.7,8.1,44.8,93.8,80.6,730,8.5,34.04424778761062,9.68695652173913,11,82.0,4300.0,10.1,89.3,112
chile,6.7,58.0,282.3,9.0,50.1,98.6,77.5,4600,3.5,42.0,34.0,8,100.0,15010.0,19.0,756.7,25
azerbaijan,4.1,63.6,48.0,6.7,15.1,73.6,64.45,1700,2.5,43.0,0.0,9,95.0,4480.0,10.0,86.6,120
georgia,14.8,58.9,17.7,7.6,37.2,80.0,27.2,1900,8.2,56.0,5.0,3,101.0,4740.0,3.7,69.7,65
serbia,12.0,48.1,51.4,8.4,56.7,74.7,24.7,5800,4.6,40.0,38.0,2,99.0,7020.0,6.9,88.4,80
portugal,6.6,55.0,237.7,9.0,66.3,95.3,84.7,10700,2.5,30.0,16.0,10,105.44961240310076,23080.0,10.3,92.2,112
pakistan,4.0,50.3,278.2,2.9,31.6,35.3,64.45,180,12.3,37.0,3.0,35,127.0,1530.0,216.6,796.1,275
slovakia,6.1,55.9,105.4,6.7,79.1,99.8,82.5,12600,6.1,38.0,23.0,5,97.0,19320.0,5.5,49.0,113
croatia,7.6,47.0,60.4,6.8,82.8,90.0,58.5,9100,2.5,40.0,34.0,2,97.0,14910.0,4.1,56.6,73
austria,5.0,57.8,446.3,10.4,72.4,98.9,96.7,13500,2.5,31.0,28.0,3,101.0,51300.0,8.9,83.9,107
greece,15.4,42.0,209.9,8.0,60.2,100.0,90.4,26900,2.5,52.0,35.0,11,99.0,20320.0,10.7,132.0,83
romania,4.7,52.7,250.1,5.2,78.6,81.9,76.5,3600,2.5,37.0,23.0,4,87.0,12630.0,19.4,238.4,85
switzerland,4.4,65.2,703.1,12.3,30.5,95.5,99.5,13900,2.5,29.0,23.0,4,99.0,85500.0,8.6,41.3,215
hungary,3.5,54.5,161.0,6.9,68.7,89.6,95.7,6200,2.5,35.0,27.0,2,98.0,16140.0,9.8,93.0,108
iran,10.3,39.5,445.3,8.7,51.2,91.8,64.45,2600,4.7,21.0,1.0,8,105.0,5420.0,82.9,1745.2,50
indonesia,4.7,64.5,1119.2,3.0,48.4,74.89615384615384,64.45,240,9.0,76.0,3.0,21,104.0,4050.0,270.6,1913.6,148
turkey,9.5,47.2,754.4,4.2,77.7,74.89615384615384,65.2,2800,2.5,41.0,14.0,4,96.0,9610.0,83.4,785.4,107
india,5.3,46.8,2875.1,3.5,27.1,74.89615384615384,64.45,290,14.0,21.0,2.0,26,101.0,2130.0,1366.4,3287.3,455
mexico,3.2,58.7,1258.3,5.5,51.5,42.9,50.4,1300,7.1,21.0,7.0,10,104.0,9430.0,127.6,1964.4,65
italy,9.7,44.4,2001.2,8.8,73.9,95.0,96.2,51300,2.5,28.0,20.0,5,97.0,34460.0,60.3,301.3,205
russia,4.9,59.2,1699.9,5.3,57.1,76.0,61.3,3100,2.5,58.0,23.0,5,102.0,11260.0,144.4,17098.3,9
